SMILES,CID,IN_STOCK_or_QUICK,ON_DEMAND,URLS
N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,MAK-UNK-0cb-10,True,True,"['https://www.molport.com/shop/molecule-link/MolPort-003-928-527', 'https://www.molport.com/shop/molecule-link/MolPort-006-069-426', 'http://www.sigmaaldrich.com/catalog/search?term=282227|ALDRICH&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=1111001|USP&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=C6143|SIGMA&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=C8527|ALDRICH&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=C9394|SIGMA&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=24798|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=C1510000|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=C1540000|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=PHR1222|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=PHR1294|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=PHR1421|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=PHR1459|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=1111001&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=24798&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=282227&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=C6143&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=C8527&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=C1510000&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=C1540000&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=C9394&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=PHR1294&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=PHR1421&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=PHR1459&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'https://www.molport.com/shop/molecule-link/MolPort-000-725-042', 'https://www.molport.com/shop/molecule-link/MolPort-002-541-741']"
O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,MAK-UNK-0cb-11,True,True,"['https://www.molport.com/shop/molecule-link/MolPort-046-762-083', 'https://mcule.com/MCULE-7925567906/', 'https://mcule.com/MCULE-7925567906/', 'http://www.sigmaaldrich.com/catalog/search?term=105937|ALDRICH&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=1681800|USP&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=PHR1303|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=05666&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=105937&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=1681800&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=PHR1303&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'https://www.molport.com/shop/molecule-link/MolPort-001-012-487', 'https://www.molport.com/shop/molecule-link/MolPort-001-012-487']"
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,MAK-UNK-0cb-12,True,True,"['https://mcule.com/MCULE-2614621397/', 'https://mcule.com/MCULE-2614621397/', 'http://www.sigmaaldrich.com/catalog/search?term=1682206|USP&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=524190|ALDRICH&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=72779|SIGMA&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=PHR1338|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=93453|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=1682206&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=524190&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=72779&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=93453&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=PHR1338&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'https://www.molport.com/shop/molecule-link/MolPort-003-666-702', 'https://www.molport.com/shop/molecule-link/MolPort-003-666-702']"
C[C@H](C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,MAK-UNK-0d6-3,True,True,"['https://www.molport.com/shop/molecule-link/MolPort-046-763-534', 'https://mcule.com/MCULE-9476030813/', 'https://mcule.com/MCULE-9476030813/', 'http://www.sigmaaldrich.com/catalog/search?term=1096699|USP&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=33975|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=PHR1452|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=SML1713|SIGMA&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=Y0000846|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=Y0000884|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=1096699&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=33975&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=PHR1452&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=SML1713&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=Y0000846&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=Y0000884&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'https://www.molport.com/shop/molecule-link/MolPort-002-070-322', 'https://www.molport.com/shop/molecule-link/MolPort-002-070-322']"
C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,OLE-CAR-5b1-13,True,True,"['https://www.molport.com/shop/molecule-link/MolPort-002-523-070', 'https://mcule.com/MCULE-8689433740/', 'https://mcule.com/MCULE-9919031730/', 'https://mcule.com/MCULE-1308036273/', 'https://mcule.com/MCULE-1308036273/', 'http://www.sigmaaldrich.com/catalog/search?term=79852|SIGMA&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=C5624|SIGMA&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=80709|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=79852&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=80709&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=C5624&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'https://www.molport.com/shop/molecule-link/MolPort-002-507-503', 'https://www.molport.com/shop/molecule-link/MolPort-002-507-503']"
O=C(Oc1cncc(Cl)c1)c1cc2ccccc2s1,OLE-CAR-5b1-4,True,True,"['https://www.molport.com/shop/molecule-link/MolPort-002-892-138', 'https://mcule.com/MCULE-1064371974/']"
COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,PA -PI -d31-2,True,True,"['https://www.molport.com/shop/molecule-link/MolPort-001-741-184', 'https://www.molport.com/shop/molecule-link/MolPort-001-740-214', 'https://mcule.com/MCULE-4801748188/', 'https://mcule.com/MCULE-2750758088/', 'https://mcule.com/MCULE-2750758088/', 'http://www.sigmaaldrich.com/catalog/search?term=H5254|SIGMA&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=04650590|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=50162|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=Y0001203|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=PHR1794|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=04650590&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=50162&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=H5254&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=PHR1794&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=Y0001203&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'https://www.molport.com/shop/molecule-link/MolPort-001-794-015', 'https://www.molport.com/shop/molecule-link/MolPort-001-794-015']"
O=c1c(O)c(-c2ccc(O)cc2)oc2c(O)c(O)cc(O)c12,PA -PI -d31-3,True,True,"['https://mcule.com/MCULE-4039991636/', 'http://www.sigmaaldrich.com/catalog/search?term=SMB00355|SIGMA&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=SMB00355&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'https://www.molport.com/shop/molecule-link/MolPort-019-998-217']"
CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,SER-UNI-400-1,True,True,"['https://mcule.com/MCULE-4169696968/', 'https://mcule.com/MCULE-3038530215/', 'https://mcule.com/MCULE-4169696968/', 'http://www.sigmaaldrich.com/catalog/search?term=CDS023238|ALDRICH&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=CDS023238&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'https://www.molport.com/shop/molecule-link/MolPort-023-329-971', 'http://www.sigmaaldrich.com/catalog/search?term=CDS023238|ALDRICH&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=CDS023238&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'https://www.molport.com/shop/molecule-link/MolPort-023-329-971']"
CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,TOM-OIS-cbf-1,True,True,"['https://www.molport.com/shop/molecule-link/MolPort-005-940-717', 'https://www.molport.com/shop/molecule-link/MolPort-019-993-155', 'https://www.molport.com/shop/molecule-link/MolPort-005-940-717', 'https://mcule.com/MCULE-2982748624/', 'https://mcule.com/MCULE-1040897081/', 'https://mcule.com/MCULE-1978584954/', 'http://www.sigmaaldrich.com/catalog/search?term=PZ0011|SIGMA&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=PZ0011&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'https://www.molport.com/shop/molecule-link/MolPort-019-993-155']"
CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,TOM-OIS-cbf-3,True,True,"['https://www.molport.com/shop/molecule-link/MolPort-003-849-333', 'https://www.molport.com/shop/molecule-link/MolPort-005-932-823', 'https://www.molport.com/shop/molecule-link/MolPort-005-932-823', 'https://mcule.com/MCULE-3967122644/', 'https://mcule.com/MCULE-6242869702/', 'http://www.sigmaaldrich.com/catalog/search?term=1457469|USP&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=N1415|SIGMA&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=1457469&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=N1415&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'https://www.molport.com/shop/molecule-link/MolPort-003-849-333']"
N#Cc1ccccc1NC(=O)Cc1c[nH]c2ncccc12,ANT-DIA-3c7-1,False,True,['https://mcule.com/MCULE-2614803204/']
CS(=O)(=O)NCCc1ccccc1O,ANT-DIA-b7f-3,False,True,['https://mcule.com/MCULE-7032860099/']
CCC(=O)NC[C@@H]1C[C@H]1c1ccccc1,ANT-OPE-6a1-1,False,True,['https://mcule.com/MCULE-7926027808/']
Cc1cccc(CCc2nc3cc(Cl)ccc3[nH]2)c1,CAS-DEP-167-3,False,True,['https://www.molport.com/shop/molecule-link/MolPort-021-508-383']
CNCc1c[nH]c2ccc(Cl)cc12,DAR-DIA-eac-37,False,True,['https://mcule.com/MCULE-3295657640/']
O=C(O)c1c[nH]c2c(F)c(F)c(F)cc2c1=O,DEN-EUR-293-2,False,True,"['https://mcule.com/MCULE-2319366832/', 'https://www.molport.com/shop/molecule-link/MolPort-015-116-198']"
CC(=O)NCCc1cn(CC(=O)N2CCOCC2)c2ccccc12,DUN-NEW-f8c-13,False,True,['https://www.molport.com/shop/molecule-link/MolPort-042-990-301']
O=C(CC(=O)N1CCOCC1)NC1CCCCC1,GIA-UNK-3f3-1,False,True,['https://www.molport.com/shop/molecule-link/MolPort-043-226-003']
O=C(CC(=O)N1CCOCC1)Nc1ccccc1,GIA-UNK-3f3-2,False,True,['https://www.molport.com/shop/molecule-link/MolPort-043-227-004']
CC(=O)N1CCN(C(=O)Cc2ccccn2)CC1,JON-UIO-066-3,False,True,['https://www.molport.com/shop/molecule-link/MolPort-037-586-896']
COCCNc1ccsc1,MAK-UNK-ace-13,False,True,"['https://mcule.com/MCULE-5563646932/', 'https://www.molport.com/shop/molecule-link/MolPort-020-395-681']"
Cc1ccncc1Nc1cccc(N)n1,MIH-UNI-339-1,False,True,['https://www.molport.com/shop/molecule-link/MolPort-023-568-188']
N#Cc1cccc(CNc2ccc(O)cc2)c1,MIH-UNI-6b9-5,False,True,['https://www.molport.com/shop/molecule-link/MolPort-012-077-134']
Cc1cc2oc3c(c(=O)c2cc1Cl)[C@@H](c1ccc(F)cc1)N(CCCO)C3=O,PAU-UNI-589-1,False,True,['https://mcule.com/MCULE-7973299201/']
Cc1cc2oc3c(c(=O)c2cc1Cl)[C@@H](c1ccc(Cl)cc1)N(CCCO)C3=O,PAU-UNI-589-2,False,True,['https://mcule.com/MCULE-9257885394/']
Cc1cc2oc3c(c(=O)c2cc1Cl)[C@@H](c1ccc(Br)cc1)N(CCCO)C3=O,PAU-UNI-589-3,False,True,['https://mcule.com/MCULE-6937340526/']
Cc1ccncc1NC(=O)Cc1ccccc1,TRY-UNI-714-5,False,True,['https://mcule.com/MCULE-5408768361/']
O=[N+]([O-])c1ccc(-n2nc(-c3ccccc3)cc2-c2ccccc2)c([N+](=O)[O-])c1,VID-DNY-1d2-1,False,True,['https://mcule.com/MCULE-9746059986/']
NC(=O)CCCCC(=O)N1CCN(Cc2cccc(F)c2)CC1,VIT-UNK-2a0-3,False,True,['https://mcule.com/MCULE-1019509514/']
Cc1ccnc2[nH]c(Cc3ccc4ccccc4c3)nc12,ÁLV-UNI-7ff-48,False,True,['https://www.molport.com/shop/molecule-link/MolPort-020-492-515']
