SMILES,CID,orders,comments
CCN(Cc1cccc(-c2ccncc2)c1)C(=O)Cn1nnc2ccccc21,AAR-POS-8a4e0f60-1,20200503_moonshot_to_enamine.csv,
CCN(Cc1cccc(-c2ccncc2)c1)C(=O)Cc1noc2ccccc12,AAR-POS-8a4e0f60-2,20200503_moonshot_to_enamine.csv,
O=C(NCc1noc2ccccc12)N(Cc1cccs1)c1ccc(F)cc1,AAR-POS-8a4e0f60-3,20200503_moonshot_to_enamine.csv,
CCOCC(=O)NCc1ccc(CNC(=O)Cn2nnc3ccccc32)cc1,AAR-POS-8a4e0f60-4,20200503_moonshot_to_enamine.csv,
COc1ccccc1C(CNC(=O)Cn1nnc2ccccc21)NC(=O)CNc1nccs1,AAR-POS-8a4e0f60-5,20200503_moonshot_to_enamine.csv,
COc1cc(OC)cc(Oc2ccc(CNC(=O)Cn3nnc4ccccc43)cc2)c1,AAR-POS-8a4e0f60-6,20200503_moonshot_to_enamine.csv,
CN(C(=O)Cn1nnc2ccccc21)c1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,AAR-POS-8a4e0f60-7,20200503_moonshot_to_enamine.csv,
CN(Cc1ccc(OCc2cccs2)cc1)C(=O)Cn1nnc2ccccc21,AAR-POS-8a4e0f60-8,20200503_moonshot_to_enamine.csv,
CN(C(=O)Cc1noc2ccccc12)c1ccc(NC(=O)OC(C)(C)C)cc1,AAR-POS-8a4e0f60-9,20200503_moonshot_to_enamine.csv,
O=C(Cn1nnc2ccccc21)NCc1ccc(Oc2cccnc2)c(F)c1,AAR-POS-8a4e0f60-10,20200503_moonshot_to_enamine.csv,
CN(Cc1nnc2ccccn12)C(=O)N(Cc1cccs1)c1ccc(Br)cc1,AAR-POS-8a4e0f60-11,20200503_moonshot_to_enamine.csv,
COc1ccc(-c2cccc(S(=O)(=O)N3CCN(C(C)=O)CC3)c2)cc1,ANT-OPE-7824651a-1,20200429_moonshot_to_mcule.csv,
O=C(Nc1nnc(-c2ccccn2)o1)C1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,DRA-CSI-7ec17797-18,20200429_moonshot_to_mcule.csv,
O=C(Cc1cncnc1)Nc1cccc(CC2CCC(=O)N2)c1,RAL-MED-2de63afb-8,20200517_moonshot_to_enamine.csv,
O=C(Cc1cncnc1)Nc1cccc(CC2CC(=O)N2)c1,RAL-MED-2de63afb-7,20200517_moonshot_to_enamine.csv,
O=C(Cc1ccccc1)Nc1cccc(OC2CC(=O)N2)c1,RAL-MED-2de63afb-6,20200517_moonshot_to_enamine.csv,
O=C1CC(Oc2cccc(C(=O)NCc3cncnc3)c2)N1,RAL-MED-2de63afb-5,20200517_moonshot_to_enamine.csv,
O=C1CC(Oc2cccc(NC(=O)C(=O)c3cncnc3)c2)N1,RAL-MED-2de63afb-4,20200517_moonshot_to_enamine.csv,
Cc1cc(NC(=O)Cc2cncnc2)cc(OC2CC(=O)N2)c1,RAL-MED-2de63afb-2,20200517_moonshot_to_enamine.csv,
C[C@H](C(=O)Nc1cccc(OC2CC(=O)N2)c1)c1cncnc1,RAL-MED-2de63afb-16,20200517_moonshot_to_enamine.csv,
C[C@@H](C(=O)Nc1cccc(OC2CC(=O)N2)c1)c1cncnc1,RAL-MED-2de63afb-15,20200517_moonshot_to_enamine.csv,
O=C(Cc1cncnc1)Nc1cc(F)cc(OC2CC(=O)N2)c1,RAL-MED-2de63afb-14,20200517_moonshot_to_enamine.csv,
O=C(Cc1cncnc1)Nc1cccc(CC2CNC(=O)N2)c1,RAL-MED-2de63afb-13,20200517_moonshot_to_enamine.csv,
C/C=C/C(=O)Nc1cccc(OC2CC(=O)N2)c1,RAL-MED-2de63afb-10,20200517_moonshot_to_enamine.csv,
Cc1ccncc1N1CCN(c2cccc(Cl)c2)C1=O,JAG-UCB-cedd89ab-1,20200517_moonshot_to_enamine.csv,
Cc1ccncc1C1CCN(c2cccc(Cl)c2)C1=O,EDJ-MED-e66f2cc5-2,20200517_moonshot_to_enamine.csv,
Cc1ccncc1N1CCC(c2cccc(Cl)c2)C1=O,EDJ-MED-e66f2cc5-1,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)Cc1cccc(-c2cn[nH]c2)c1,EDJ-MED-e58735b6-4,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)Cc1cccc(S(N)(=O)=O)c1,EDJ-MED-e58735b6-3,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)Cc1cccc(CO)c1,EDJ-MED-e58735b6-2,20200517_moonshot_to_enamine.csv,
Cc1ccncc1C1CCN(c2cccc(Cl)c2)S1(=O)=O,EDJ-MED-49816e9b-6,20200517_moonshot_to_enamine.csv,
Cc1nnn(C)c1NC(=O)Cc1cccc(Cl)c1,EDJ-MED-49816e9b-5,20200517_moonshot_to_enamine.csv,
Cc1ccncc1N1CCC(c2cccc(Cl)c2)S1(=O)=O,EDJ-MED-49816e9b-4,20200517_moonshot_to_enamine.csv,
CCCCOc1ccc(Cl)cc1CC(=O)Nc1cnccc1C,EDG-MED-0da5ad92-7,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=N)Cc1cccc(Cl)c1,EDG-MED-0da5ad92-6,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)C(CO)c1cccc(Cl)c1,EDG-MED-0da5ad92-5,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)N(C)c1cccc(Cl)c1,EDG-MED-0da5ad92-3,20200517_moonshot_to_enamine.csv,
Cc1[nH]ncc1NC(=O)Cc1cccc(Cl)c1,EDG-MED-0da5ad92-21,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)N(Cc1ccccc1)c1cccc(Cl)c1,EDG-MED-0da5ad92-20,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)N(c1cccc(Cl)c1)c1cccc(Cl)c1,EDG-MED-0da5ad92-19,20200517_moonshot_to_enamine.csv,
Cc1ccnc(N)c1NC(=O)Cc1cccc(Cl)c1,EDG-MED-0da5ad92-18,20200517_moonshot_to_enamine.csv,
Cc1cc(N)ncc1NC(=O)Cc1cccc(Cl)c1,EDG-MED-0da5ad92-17,20200517_moonshot_to_enamine.csv,
Cc1cnncc1NC(=O)Cc1cccc(Cl)c1,EDG-MED-0da5ad92-16,20200517_moonshot_to_enamine.csv,
Cc1ccnnc1NC(=O)Cc1cccc(Cl)c1,EDG-MED-0da5ad92-15,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)C(C)c1cc(Cl)cc(OC2CC(=O)N2)c1,TRY-UNI-2eddb1ff-8,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OC2CC(=O)N2)c1,TRY-UNI-2eddb1ff-7,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)Cc1cc(C#N)cc(OC2CC(=O)N2)c1,TRY-UNI-2eddb1ff-6,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)C(C)c1cncc(Cl)c1,TRY-UNI-2eddb1ff-3,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)Cc1cncc(Cl)c1,TRY-UNI-2eddb1ff-2,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)Cc1cncc(C#N)c1,TRY-UNI-2eddb1ff-1,20200517_moonshot_to_enamine.csv,
CC(C)c1ncncc1NC(=O)C(C)c1cccc(Cl)c1,JAN-GHE-83b26c96-6,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)[C@@H](C)c1cccc(Cl)c1,JAN-GHE-83b26c96-5,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)[C@H](C)c1cccc(Cl)c1,JAN-GHE-83b26c96-4,20200517_moonshot_to_enamine.csv,
Cc1ccncc1-c1nnc(-c2cccc(Cl)c2)o1,JAN-GHE-83b26c96-24,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)C(F)(F)c1cccc(Cl)c1,JAN-GHE-83b26c96-23,20200517_moonshot_to_enamine.csv,
CCC(C(=O)Nc1cnncc1C)c1cccc(Cl)c1,JAN-GHE-83b26c96-1,20200517_moonshot_to_enamine.csv,
Cc1c(N)cncc1NC(=O)Nc1cccc(C#N)c1,TRY-UNI-714a760b-23,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)C(C)c1ccccc1,TRY-UNI-714a760b-17,20200517_moonshot_to_enamine.csv,
Cc1c(N)cncc1NC(=O)C(C)C1CCCCC1,TRY-UNI-714a760b-13,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)NC1CCCCC1,ALE-HEI-f28a35b5-7,20200517_moonshot_to_enamine.csv,
O=C(Cc1cc(Cl)cc(Cl)c1)Nc1nncs1,JAG-UCB-cedd89ab-3,20200517_moonshot_to_enamine.csv,
O=C(Cc1cccnc1)Nc1cccc(OC2CC(=O)N2)c1,RAL-MED-2de63afb-1,20200517_moonshot_to_enamine.csv,
CCC(=O)Nc1cccc(OC2CC(=O)N2)c1,RAL-MED-2de63afb-11,20200517_moonshot_to_enamine.csv,
CC(=O)NCc1cccc(NC(=O)Cc2cncnc2)c1,RAL-MED-2de63afb-12,20200517_moonshot_to_enamine.csv,
O=C1CC(c2cccc(NC(=O)Cc3cncnc3)c2)CN1,RAL-MED-2de63afb-3,20200517_moonshot_to_enamine.csv,
C=CC(=O)Nc1cccc(OC2CC(=O)N2)c1,RAL-MED-2de63afb-9,20200517_moonshot_to_enamine.csv,
Cc1ccncc1N(C)C(=O)Cc1cccc(Cl)c1,JAN-GHE-83b26c96-15,20200517_moonshot_to_enamine.csv,
Cc1cncc(NC(=O)Cc2cccc(Cl)c2)c1,EDG-MED-0da5ad92-12,20200517_moonshot_to_enamine.csv,
Cc1ccc(NC(=O)Cc2cccc(Cl)c2)cn1,EDG-MED-0da5ad92-13,20200517_moonshot_to_enamine.csv,
Cc1ncccc1NC(=O)Cc1cccc(Cl)c1,EDG-MED-0da5ad92-14,20200517_moonshot_to_enamine.csv,
O=C(Cc1cccc(Cl)c1)Nc1cccnc1,EDG-MED-0da5ad92-2,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)CC1CCCCC1,ALE-HEI-f28a35b5-6,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)CC1CCCNC1,EDG-MED-0da5ad92-9,20200517_moonshot_to_enamine.csv,
Cc1ccncc1CC(=O)Nc1cccc(Cl)c1,EDJ-MED-49816e9b-1,20200517_moonshot_to_enamine.csv,
Cc1ccnc(C)c1NC(=O)Cc1cccc(Cl)c1,EDJ-MED-49816e9b-2,20200517_moonshot_to_enamine.csv,
Cc1cnn(C)c1NC(=O)Cc1cccc(Cl)c1,EDJ-MED-49816e9b-3,20200517_moonshot_to_enamine.csv,
Cc1cc(CC(=O)Nc2cnccc2C)[nH]n1,EDJ-MED-c9f55a56-1,20200517_moonshot_to_enamine.csv,
COc1cccc(CC(=O)Nc2cnccc2C)c1,EDJ-MED-e58735b6-1,20200517_moonshot_to_enamine.csv,
COc1ccccc1OCCNC(=O)c1cc[nH]c(=O)c1,BEN-DND-7e92b6ca-1,20200517_moonshot_to_enamine.csv,
O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(Cc2ccccc2)CC1,BEN-DND-7e92b6ca-10,20200517_moonshot_to_enamine.csv,
COc1ccc(N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)cc1,BEN-DND-7e92b6ca-11,20200517_moonshot_to_enamine.csv,
COc1cccc(N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1,BEN-DND-7e92b6ca-12,20200517_moonshot_to_enamine.csv,
COc1ccccc1N1CCN(C(=O)c2cc(=O)[nH]c3ccccc23)CC1,BEN-DND-7e92b6ca-13,20200517_moonshot_to_enamine.csv,
O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2ccc(F)cc2)CC1,BEN-DND-7e92b6ca-14,20200517_moonshot_to_enamine.csv,
O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2ccccc2F)CC1,BEN-DND-7e92b6ca-16,20200517_moonshot_to_enamine.csv,
COc1ccccc1OCCN(C)C(=O)c1cc(=O)[nH]c2ccccc12,BEN-DND-7e92b6ca-2,20200517_moonshot_to_enamine.csv,
CN(CCNC(=O)c1cc(=O)[nH]c2ccccc12)c1ccccc1,BEN-DND-7e92b6ca-3,20200517_moonshot_to_enamine.csv,
O=C(NCCNc1ccccc1)c1cc(=O)[nH]c2ccccc12,BEN-DND-7e92b6ca-4,20200517_moonshot_to_enamine.csv,
O=C(NCCOc1ccccc1)c1cc(=O)[nH]c2ccccc12,BEN-DND-7e92b6ca-5,20200517_moonshot_to_enamine.csv,
O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(S(=O)(=O)c2ccccc2)CC1,BEN-DND-7e92b6ca-7,20200517_moonshot_to_enamine.csv,
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc[nH]c(=O)c3)CC2)c1C,BEN-DND-7e92b6ca-8,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)CN1CCOCC1,BEN-DND-93268d01-10,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)CC(C)(C)c1ccccc1,BEN-DND-93268d01-13,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)C(C)Cc1ccccc1,BEN-DND-93268d01-14,20200517_moonshot_to_enamine.csv,
CC(C(=O)Nc1cnccc1O)c1ccccc1,BEN-DND-93268d01-15,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)C(CO)c1ccccc1,BEN-DND-93268d01-3,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)CCc1ccccn1,BEN-DND-93268d01-4,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)CCc1ccc(F)cc1,BEN-DND-93268d01-5,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)CCc1ccccc1F,BEN-DND-93268d01-7,20200517_moonshot_to_enamine.csv,
NC(=O)C1CCCN1CC(=O)Nc1cccnc1,NAU-LAT-64f4b287-10,20200517_moonshot_to_enamine.csv,
O=C(CCl)N1CCN(Cc2nc(-c3cccs3)no2)CC1,NAU-LAT-64f4b287-3,20200517_moonshot_to_enamine.csv,
COc1ccc2c(c1)CN(C(=O)CCl)C(c1ccccc1)C2,NAU-LAT-64f4b287-4,20200517_moonshot_to_enamine.csv,
Cc1nnc(C2Cc3ccccc3CN2C(=O)CCl)o1,NAU-LAT-64f4b287-5,20200517_moonshot_to_enamine.csv,
O=C(Nc1ccccc1)c1ccc2[nH]ccc2c1,NAU-LAT-64f4b287-8,20200517_moonshot_to_enamine.csv,
O=C(Cc1cccnc1)NCc1ccccc1,NAU-LAT-64f4b287-9,20200517_moonshot_to_enamine.csv,
O=C(Cn1nnc2ccccc21)Nc1cccc(Cl)c1,BEN-DND-61647d40-12,20200517_moonshot_to_enamine.csv,
O=C(Cn1cnc2ccccc21)Nc1cccc(Cl)c1,BEN-DND-61647d40-13,20200517_moonshot_to_enamine.csv,
O=C(Cc1cccnc1)Nc1cc(Cl)ccc1O,BEN-DND-61647d40-18,20200517_moonshot_to_enamine.csv,
N#Cc1ccc(O)c(NC(=O)Cc2cccnc2)c1,BEN-DND-61647d40-8,20200517_moonshot_to_enamine.csv,
Cc1nnn(NC(=O)Cc2cccc(Cl)c2)c1C,JAN-GHE-5a013bed-1,20200517_moonshot_to_enamine.csv,
O=C(Cc1cccc(Cl)c1)Nc1nnn[nH]1,JAN-GHE-5a013bed-11,20200517_moonshot_to_enamine.csv,
O=C(Cc1cccc(Cl)c1)Nn1cnc2ccccc21,JAN-GHE-5a013bed-2,20200517_moonshot_to_enamine.csv,
O=C(Cc1cccc(Cl)c1)Nn1cnc2ccccc2c1=O,JAN-GHE-5a013bed-3,20200517_moonshot_to_enamine.csv,
O=C(Cc1cccc(Cl)c1)Nn1cn[nH]c1=O,JAN-GHE-5a013bed-4,20200517_moonshot_to_enamine.csv,
O=C(Cc1cccc(Cl)c1)Nn1cnnc1,JAN-GHE-5a013bed-5,20200517_moonshot_to_enamine.csv,
O=C(Cc1cccc(Cl)c1)Nc1cnns1,JAN-GHE-5a013bed-6,20200517_moonshot_to_enamine.csv,
O=C(Cc1cccc(Cl)c1)Nc1nncs1,JAN-GHE-5a013bed-7,20200517_moonshot_to_enamine.csv,
O=C(Cc1cccc(Cl)c1)Nc1cnccn1,JAN-GHE-5a013bed-8,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)C(c1cccc(Cl)c1)N(C)C,JAN-GHE-83b26c96-10,20200517_moonshot_to_enamine.csv,
Cc1ccc(CC(=O)Nc2cnccc2C)cc1,JAN-GHE-83b26c96-11,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)Cc1cccc(Br)c1,JAN-GHE-83b26c96-12,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)Cc1cccc(I)c1,JAN-GHE-83b26c96-13,20200517_moonshot_to_enamine.csv,
CCCN(C(=O)Cc1cccc(Cl)c1)c1cccnc1,JAN-GHE-83b26c96-16,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NS(=O)(=O)Cc1cccc(Cl)c1,JAN-GHE-83b26c96-17,20200517_moonshot_to_enamine.csv,
O=C1NC(c2cccnc2)C(=O)N1c1cccc(Cl)c1,JAN-GHE-83b26c96-18,20200517_moonshot_to_enamine.csv,
O=C(Nc1cccnc1)Nc1cccc(Cl)c1,DAR-DIA-23aa0b97-14,20200517_moonshot_to_enamine.csv,
CC(=O)Nc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,JAN-GHE-83b26c96-2,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)C1(c2cccc(Cl)c2)CC1,JAN-GHE-83b26c96-20,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NS(=O)(=O)c1cccc(Cl)c1,JAN-GHE-83b26c96-21,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)C(C)(C)c1cccc(Cl)c1,JAN-GHE-83b26c96-22,20200517_moonshot_to_enamine.csv,
Cc1ccncc1-c1nc(-c2cccc(Cl)c2)no1,JAN-GHE-83b26c96-25,20200517_moonshot_to_enamine.csv,
CC(C(=O)Nc1cnccc1-n1cccn1)c1cccc(Cl)c1,JAN-GHE-83b26c96-3,20200517_moonshot_to_enamine.csv,
Cc1ncncc1NC(=O)C(c1cccc(Cl)c1)C(C)C,JAN-GHE-83b26c96-7,20200517_moonshot_to_enamine.csv,
CCCC(C(=O)Nc1cnccc1C)c1cccc(Cl)c1,JAN-GHE-83b26c96-8,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)C(c1cccc(Cl)c1)C(C)C,JAN-GHE-83b26c96-9,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)Cc1cccc(F)c1,ALP-POS-95b75b4d-1,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)Cc1cccc(O)c1,ALP-POS-95b75b4d-2,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)Cc1cccc(C(F)(F)F)c1,JAN-GHE-83b26c96-14,20200517_moonshot_to_enamine.csv,
Cc1ccncc1NC(=O)Cc1cccc(C2CC2)c1,ALP-POS-95b75b4d-4,20200517_moonshot_to_enamine.csv,
O=C(Cc1cccc(Cl)c1)Nc1cnccc1O,ALP-POS-95b75b4d-6,20200517_moonshot_to_enamine.csv,
Cc1ccncc1Cn1ccccc1=O,JAN-GHE-d851b096-6,20200517_moonshot_to_enamine.csv,
Cc1noc(C)c1CS(=O)(=O)Cc1cccc(Cl)c1,JAG-UCB-a3ef7265-1,20200517_moonshot_to_enamine.csv,
Cn1cnnc1NC(=O)Cc1cccc(Cl)c1F,JAG-UCB-a3ef7265-2,20200517_moonshot_to_enamine.csv,
O=C(Nc1cnccc1CO)[C@@H]1COc2ccc(Cl)cc21,JAG-UCB-a3ef7265-3,20200517_moonshot_to_enamine.csv,
Cc1nnc(NC(=O)Cc2cccc(Cl)c2F)n1C,JAG-UCB-a3ef7265-4,20200517_moonshot_to_enamine.csv,
Cc1c(NC(=O)Cc2cccc(Cl)c2F)cnn1C,JAG-UCB-a3ef7265-5,20200517_moonshot_to_enamine.csv,
Cc1cc(C)cc(CS(=O)(=O)N[C@@]23COC[C@@H]2C3)c1,JAG-UCB-a3ef7265-6,20200517_moonshot_to_enamine.csv,
Cc1cc2c(cc1C)[C@H](C(=O)Nc1cccnc1)CO2,JAG-UCB-a3ef7265-7,20200517_moonshot_to_enamine.csv,
COc1c(NC(=O)Cc2cccc(Cl)c2Cl)c(C)nn1C,JAG-UCB-a3ef7265-8,20200517_moonshot_to_enamine.csv,
Cc1noc(C)c1NC(=O)Cc1cccc(Cl)c1Cl,JAG-UCB-a3ef7265-9,20200517_moonshot_to_enamine.csv,
Cc1nnc(NC(=O)Cc2cccc(Cl)c2F)s1,JAG-UCB-a3ef7265-10,20200517_moonshot_to_enamine.csv,
Cn1nnnc1NC(=O)Cc1csc(C(C)(C)C)n1,JAG-UCB-a3ef7265-11,20200517_moonshot_to_enamine.csv,
Cc1cc(C)cc(NC(=O)Cn2cncc2C)c1,JAG-UCB-a3ef7265-12,20200517_moonshot_to_enamine.csv,
Cc1cc(C)cc(NC(=O)Cc2cnn(C)c2C)c1,JAG-UCB-a3ef7265-13,20200517_moonshot_to_enamine.csv,
Cc1cccc(NC(=O)Cn2cncc2C)n1,JAG-UCB-a3ef7265-14,20200517_moonshot_to_enamine.csv,
Cc1nnc(NC(=O)Cc2cccc(Cl)c2)n1C,JAG-UCB-a3ef7265-15,20200517_moonshot_to_enamine.csv,
Cc1ccc(C)c(N(C)C(=O)Cc2cnn(C)c2C)c1,JAG-UCB-a3ef7265-16,20200517_moonshot_to_enamine.csv,
Cn1cnnc1NC(=O)Cc1cccc(Cl)c1,JAG-UCB-a3ef7265-17,20200517_moonshot_to_enamine.csv,
