SMILES,CID,VITAS_ID
O=C(Nc1cccnc1)NC1CCCCC1,ALE-HEI-f28-8,288199
O=C(CC1CCCCC1)Nc1cccnc1,ALE-HEI-f28-9,54378
CCCC(C)NC(=O)COc1ccccc1,ALE-UNK-fca-8,256324
CCOC(=O)C(=O)Nc1cc(OC)c(OC)c(OC)c1,ANT-LOU-17a-3,275741
O=C(CC(c1ccccc1)c1ccccc1)Nc1cccnc1,AUS-ARG-7cf-11,258174
O=C(NCCC(c1ccccc1)c1ccccc1)c1cnccn1,AUS-ARG-7cf-13,412199
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,CHR-SOS-709-1,312301
O=C(Nc1cc(NC(=O)c2ccccc2)cc(C(=O)Nc2ccc([N+](=O)[O-])cc2)c1)c1ccccc1,AAR-POS-fca48359-1,265864
O=C(Nc1ccccc1)c1cccc(Cl)c1,CHR-SOS-709-8,990456
O=C(Nc1ccccc1)c1ccccc1,CHR-SOS-709-9,216655
O=C(c1ccccc1O)N1CCCCC1,CLI-UNI-032-1,553743
NC(=O)C1CCN(C(=O)c2ccccc2O)CC1,CLI-UNI-032-3,589892
O=C(O)c1ccc(S(=O)(=O)N2CCCCC2)cc1,CLI-UNI-032-4,636678
O=C(Nc1cccnc1)Nc1cccc(Cl)c1,DAR-DIA-23a-14,365711
COc1ccc2[nH]cc(CN(C)C)c2c1,DAR-DIA-eac-35,1236672
O=C(/C=C/c1cccc([N+](=O)[O-])c1)c1ccccc1,DAV-IMP-59d-10,239323
O=C(/C=C/c1ccccc1[N+](=O)[O-])c1ccccc1,DAV-IMP-59d-11,214956
O=C(/C=C/c1ccccc1)Nc1ccc(/C=C/C(=O)c2ccccc2)cc1,AAR-POS-fca48359-2,219376
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,AAR-POS-fca48359-3,1288117
CC(C)(C)C(=O)N1CCC(Cc2ccccc2)CC1,DR.-CSI-47e-12,291179
COc1ccc(C(=O)N2CCC(C(=O)N3CCC(Cc4ccccc4)CC3)CC2)cc1,AAR-POS-fca48359-4,16243
COc1ccccc1NC(=O)N1CCC(Cc2ccccc2)CC1,DR.-CSI-47e-15,452727
CC(=O)N1CCC(C(=O)N2CCC(Cc3ccccc3)CC2)CC1,AAR-POS-fca48359-5,462847
COC(=O)N1CCC(Cc2ccccc2)CC1,DR.-CSI-47e-3,420568
O=C(Nc1ccc(F)c(Cl)c1)N1CCC(Cc2ccccc2)CC1,DR.-CSI-47e-9,440875
COC(=O)[C@@H]1Cc2c([nH]c3ccccc23)C(c2ccccc2Cl)N1,AAR-POS-fca48359-6,1054138
O=C(O)[C@@H]1CCCN1C(=O)CC(CNC(=O)[C@@H]1CSCN1)c1ccc(Cl)cc1,AAR-POS-fca48359-7,1399707
O=C1C2Cc3c([nH]c4ccccc34)C(c3ccc(Cl)cc3)N2C(=O)CN1CCCn1ccnc1,AAR-POS-fca48359-8,1375844
O=C1OC(N2C(=O)CC[C@H]2C(=O)Nc2cccc(Cl)c2)c2ccccc21,AAR-POS-fca48359-9,1375916
COCCN1C(=O)[C@@H]2C(Cc3c[nH]c4ccccc34)NC3(C(=O)Nc4ccc(Cl)cc43)[C@@H]2C1=O,AAR-POS-fca48359-10,1370499
Cc1ccc(N(C(=O)C2N3C(=O)CC3S(=O)(=O)C2(C)C)C(C(=O)NC2CCCCC2)c2ccc(O)cc2)cc1,AAR-POS-fca48359-11,1367550
N=C(N)NCCC[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)O,AAR-POS-fca48359-12,1378884
NC(=O)CCC1NC2(C(=O)Nc3c(Cl)cccc32)[C@@H]2C(=O)N(Cc3ccc4c(c3)OCO4)C(=O)[C@H]12,AAR-POS-fca48359-13,1371469
O=C(CC1CCCCC1)Nc1cccnc1,FRA-FAC-9ed-1,54378
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,GER-UNI-cad-1,707182
O=C1/C(=C\c2ccco2)CCC/C1=C\c1ccco1,AAR-POS-fca48359-14,506333
COc1ccc2[nH]cc(CCN)c2c1,JOH-MSK-a63-7,92223
COc1ccc2[nH]c3c(c2c1)CCNC3,JOH-MSK-a63-8,594561
COc1ccc2cccc(CCNC(C)=O)c2c1,JOH-MSK-ec6-3,1219745
O=C(Nc1cccnc1)Nc1cccc(Cl)c1,JOR-UNI-2fc-7,365711
Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,AAR-POS-fca48359-15,1350688
O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,AAR-POS-fca48359-16,1286409
O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,LON-WEI-b8d-3,1059097
N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,MAK-UNK-0cb-10,71678
CC(C)=C1CC[C@@H](C)CC1=O,AAR-POS-fca48359-17,836789
CC(C(=O)O)c1ccc2c3cc(Cl)ccc3n(C)c2c1,AAR-POS-fca48359-18,1392100
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,AAR-POS-fca48359-19,565642
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,AAR-POS-fca48359-20,565642
CCn1cc(CNC(=O)c2cccnc2)cn1,MAK-UNK-2c1-1,362215
O=C(O)C1=CC(O)C(O)C(O)C1,AAR-POS-fca48359-21,587678
CC1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,AAR-POS-fca48359-22,565747
CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,PA -PI -d31-1,1313339
COc1ccc([C@@H]2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1O,AAR-POS-fca48359-23,585423
CC(=O)NCCc1c[nH]c2ccc(Cl)cc12,SAN-PRS-3c4-1,747605
CC(=O)NCCc1c[nH]c2ccccc12,SAN-PRS-3c4-2,1283683
O=C(NCC1CCCCC1)c1cccnc1,SAN-PRS-52b-1,1022359
O=C(Cc1ccccc1)Nc1cccnc1,SAN-PRS-52b-2,220082
COC(=O)c1ccc(C(N)=O)cc1,SAN-PRS-c95-1,380713
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,SER-UNI-400-2,734355
O=C(Nc1cccnc1)Nc1cc(Cl)cc(Cl)c1,WAR-XCH-eb7-3,459538
Cc1cccc(NC(=O)Nc2cccnc2)c1,WAR-XCH-eb7-6,333776
O=C(Nc1cccnc1)Nc1cccc(Cl)c1,WAR-XCH-eb7-7,365711
O=C(CN1CCNCC1)Nc1ccccc1,WIL-LEE-23e-6,599